,actual,actual_1,forecast,forecast_1,rolling_std,rolling_std_1,z-score,z-score_1,1,1_1,7_1,year_even,difference
0,-0.15686274509803924,-0.17647058823529413,1.7,0.0,3.888785352157087,-2.568298247710295,-0.3570443329944113,-0.03288110750727756,72.940002,-3.4065929758011264,-0.04737706561139249,0,-1.8568627450980393
1,1.2549019607843137,-0.15686274509803924,2.3,1.7,3.10984507068059,0.2549769267550056,1.2240970297546836,-0.3550543644704607,75.43,0.07835653626892755,1.2292448470734405,0,-1.0450980392156861
2,-0.7843137254901962,1.2549019607843137,2.3,2.3,3.5382220325348652,-0.31053712453192006,-1.229937801543323,1.2260869982786344,78.519997,0.1973244150353061,0.6365290644513947,0,-3.084313725490196
3,-0.6470588235294118,-0.7843137254901962,1.8,2.3,3.8016344172505914,0.00046642341273141354,-0.8999633168136301,-1.2279478330193725,80.199997,0.3449592277879561,0.6480487784481916,0,-2.447058823529412
4,0.29411764705882354,-0.6470588235294118,1.5,1.8,3.7718655459824784,0.191704966831461,0.1519688915748985,-0.8979733482896793,84.410004,0.4252267767287645,1.039576292058757,0,-1.2058823529411764
5,0.5686274509803921,0.29411764705882354,0.9,1.5,3.481770709384417,0.17009263608749303,0.6173296945348709,0.15395886009884918,81.599998,0.6263737665583168,0.3911311975493497,0,-0.3313725490196079
6,0.9411764705882353,0.5686274509803921,1.6,0.9,3.6641589220529998,-0.04051748410172496,0.8413083118697663,0.6193196630588215,84.940002,0.4921164486244083,-0.6758868001011603,0,-0.6588235294117648
7,-0.13725490196078433,0.9411764705882353,2.2,1.6,3.630927755221296,0.09189715602663219,-0.4661873700326522,0.843298280393717,85.300003,0.6516961715604188,0.3917091313434508,0,-2.3372549019607844
8,-1.235294117647059,-0.13725490196078433,0.5,2.2,4.12328936063371,0.06777118356008238,-1.1553189976484464,-0.46419740150870153,90.019997,0.6688964083974663,0.3639962031806909,0,-1.735294117647059
9,-1.9019607843137258,-1.235294117647059,-0.3,0.5,4.892937086590561,0.4252278625844683,-1.395165040715314,-1.1533290291244958,86.620003,0.8944097116089685,1.1541336195415446,0,-1.6019607843137258
10,-1.1176470588235294,-1.9019607843137258,1.1,-0.3,4.758238469573938,0.9839954779202801,-1.0058041269680607,-1.3931750721913634,84.510002,0.73196376827953,-1.1302122306234796,0,-2.2176470588235295
11,-1.0784313725490198,-1.1176470588235294,-0.9,1.1,4.903801864601865,0.8862036928203657,-0.625687128730331,-1.00381415844411,87.16999799999998,0.6311515012958067,-0.5399956628205009,0,-0.17843137254901975
12,-0.411764705882353,-1.0784313725490198,-1.5,-0.9,4.896465948812346,0.9918833542769364,0.013104698319315858,-0.6236971602063803,88.150002,0.7582415960055411,0.9417481702949987,0,1.088235294117647
13,-0.019607843137254898,-0.411764705882353,-0.1,-1.5,4.2184658995249125,0.9865574473278605,0.13218852649048454,0.015094666843266527,87.730003,0.8050645240008923,0.44176800651086273,0,0.0803921568627451
14,-0.5686274509803921,-0.019607843137254898,-0.1,-0.1,4.1912155610023065,0.4943264461033583,-0.3898455139612874,0.1341784950144352,89.160004,0.7849976845439929,-0.412585554832137,0,-0.46862745098039216
15,-1.3333333333333335,-0.5686274509803921,-1.5,-0.1,4.38748219369606,0.47454258114820635,-0.8201442953555197,-0.38785554543733675,82.199997,0.8533207055278654,-0.31042815999699647,0,0.16666666666666652
16,0.411764705882353,-1.3333333333333335,-1.2,-1.5,4.440925374493268,0.6170330149163779,0.70568728947161,-0.8181543268315691,78.690002,0.5207833826106797,-1.874798381613192,0,1.611764705882353
17,-0.4901960784313726,0.411764705882353,-0.7,-1.2,4.104875150354759,0.6558329979253458,-0.20655357808372696,0.7076772579955605,76.519997,0.35308177817943376,-0.9691998101678074,0,0.20980392156862737
18,-0.19607843137254904,-0.4901960784313726,-1.4,-0.7,3.3883043046051893,0.41185906538173506,0.26555970159293096,-0.20456360955977626,73.25,0.2494026219060409,-1.0190484201125716,0,1.203921568627451
19,0.1568627450980392,-0.19607843137254904,0.1,-1.4,3.5232883228683685,-0.10837450277552374,0.32072362066256677,0.2675496701168817,71.480003,0.0931677146240182,1.154218085458925,0,0.05686274509803921
20,-0.25490196078431376,0.1568627450980392,-0.1,0.1,3.4317920930174317,-0.01037551512231933,-0.10332270104467588,0.3227135891865174,70.769997,0.008600261753431886,-1.4907742963638908,0,-0.15490196078431376
21,1.6666666666666667,-0.25490196078431376,0.7,-0.1,4.1050135643669154,-0.0768021781810126,1.6246704850295097,-0.10133273252072522,73.220001,-0.025322620004465314,0.0999541464390311,0,0.9666666666666668
22,-0.19607843137254904,1.6666666666666667,0.9,0.7,3.8724747392411234,0.41195955455995714,-0.23707746969718904,1.6266604535534603,76.07,0.09173441331409223,0.27682426436484164,0,-1.0960784313725491
23,-0.5490196078431373,-0.19607843137254904,0.0,0.9,3.658727631129144,0.2431353504385319,-0.4415081745001732,-0.2350875011732384,70.309998,0.2279025289175183,0.5379511304117873,0,-0.5490196078431373
24,-1.3333333333333335,-0.5490196078431373,-4.6,0.0,4.046435019079926,0.08795401506049086,-0.28643841672987724,-0.4395182059762225,64.129997,-0.04730059157900337,-2.577139977849403,0,3.266666666666666
25,-1.411764705882353,-1.3333333333333335,-4.3,-4.6,4.383949720459297,0.3694312744703112,-0.3921010633780915,-0.2844484482059265,65.43,-0.34257055153242383,-1.1039685966016568,0,2.8882352941176466
26,-0.47058823529411764,-1.411764705882353,-2.0,-4.3,4.374305139624515,0.6144684238961291,0.05463332827876631,-0.3901110948541408,68.699997,-0.28045861437426994,-0.3374170314378209,0,1.5294117647058822
